vessel_id,mmsi,imo,shipname,callsign,flag_code,flag,ship_type_summary,ship_type_detail_name,length_m,width_m,dwt,grt,year_built
014e4765-50b8-7402-b1d2-c57b37ff623f,351849000,9605047.0,PACIFIC HOPE,3FLH6,PA,Panama (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,171.0,27.200001,28200.0,17009.0,2011.0
014e46f2-0518-7aae-ad05-c0edc1b2835b,357362000,9392884.0,DIAMOND CORAL,3EMG5,PA,Panama (Republic of),"Tanker(s), all ships of this type",LPG Tanker,97.690002,20.0,3863.0,3419.0,2007.0
018fa93d-aab0-76e7-b0b5-b589ca0e1a30,574006030,1035090.0,VIET THUAN 095 01,3WYD7,VN,Viet Nam (Socialist Republic of),"Cargo ships, all ships of this type",General Cargo,119.0,17.0,9500.0,5775.0,2024.0
014e46eb-5628-745d-a171-882c035e56cb,574004780,9470727.0,HAIAN VIEW,XVGU7,PA,Panama (Republic of),"Cargo ships, no additional information",Container Ship,171.99001,27.6,21440.0,17280.0,2009.0
018088df-c500-7062-81d6-fb3a7097129f,574005670,9427419.0,NHA BE 11,XVLE7,VN,Viet Nam (Socialist Republic of),Reserved for future use,Oil/Chemical Tanker,109.61,18.0,6717.0,4552.0,2008.0
014e4752-5d28-778d-9d19-29ef5cdd0588,574474000,9054846.0,PHUONG DONG 06,3WQH,VN,Viet Nam (Socialist Republic of),"Cargo ships, no additional information",Bulk Carrier,157.5,25.0,22201.0,13706.0,1993.0
01869d7a-33c8-7b98-84a5-d8d8ea2fb139,413511810,1040655.0,SHENGHANGHUA15,BPEP6,CN,China (People's Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Chemical Tanker,96.0,14.0,3055.0,2794.0,2023.0
014e46ee-f008-79ec-a55d-109042a99940,563257300,9390252.0,KOTA NEKAD,9VDK6,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,179.67,27.639999,25985.0,20902.0,2009.0
014e4789-18e0-79a8-8cab-9c56ecc3c798,414072000,9579262.0,GUO YUAN 16,BPMS8,CN,China (People's Republic of),"Cargo ships, all ships of this type",Bulk Carrier,224.89999,32.25,75915.0,41830.0,2012.0
015a5927-4c00-7f86-9553-a82ca87d6414,636017742,9792010.0,SOUTHERN QUOKKA,D5MN2,LR,Liberia (Republic of),"Tanker(s), all ships of this type",Oil/Chemical Tanker,157.0,25.0,26077.0,14965.0,2017.0
014e46ea-6010-72c7-9456-6f79640304f6,636020978,9230775.0,MSC TRADER II,5LBQ9,AG,Antigua and Barbuda,"Cargo ships, all ships of this type",Container Ship,184.03999,25.299999,22968.0,16803.0,2001.0
014e54bc-3790-7f00-984a-af4d2e801f00,567359000,9140449.0,SENNA,HSB4262,TH,Thailand,"Tanker(s), all ships of this type",LPG Tanker,105.92,16.200001,3700.0,4002.0,1996.0
014e4ad4-11a8-7ad2-ade3-78f54f72bcab,413380840,9553361.0,CHANG XIONG,BUWI,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type",General Cargo,117.8,18.0,8394.0,6550.0,2010.0
014e4c1d-1c08-7738-aba6-1b82a7d573aa,477067800,9477907.0,OOCL TAIPEI,VRNR6,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type",Container Ship,334.94,42.919998,101146.0,91499.0,2015.0
018325b7-72b8-7500-864c-16bbab7cf7fe,477856200,9907134.0,JIN HAI ZHOU,VRUY6,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y","Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",129.0,22.0,13707.0,9681.0,2022.0
01929a3c-0a18-794b-bc4b-6a25c4102b07,538011207,9937543.0,TS MUMBAI,V7A6782,MH,Marshall Islands (Republic of the),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,272.5,43.0,86645.0,73172.0,2024.0
014e4952-28b0-7c11-9eab-3e80bf556786,357025000,9160712.0,FENGYUNHE,3FXG8,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,182.87,27.6,24251.0,16737.0,1998.0
014e479a-6a78-7442-a413-9444bc1dc2db,477272800,9331115.0,SITC HONGKONG,VRYK9,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",145.12,22.450001,12621.0,9531.0,2007.0
017195c5-8ca0-7503-a725-c826a5fc128d,563259400,9864502.0,YM CELEBRITY,9V9752,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,209.75,33.0,37500.0,32600.0,2020.0
014e4746-2c10-728d-9bd1-b2fb8fa20e13,255806105,9450351.0,MSC JUSTICE VIII,CQIY7,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",333.0,43.0,108836.0,94419.0,2010.0
014e47a6-ce58-73ed-8c5b-8015969c2d61,533180127,9146065.0,MTT PULAU PINANG,9MVG3,MY,Malaysia,"Cargo ships, all ships of this type",Container Ship,159.53,25.0,17182.0,13448.0,1997.0
0174f99d-caf0-787f-bd05-20458ecaccb9,356517000,9890874.0,EVER CLEAR,3FTB3,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,171.98,28.0,22383.0,18658.0,2020.0
014fa192-1e80-7ce2-a81b-e82042ab1d0e,413204220,8791045.0,YUAN DONG YANG FAN,BPOL9,CN,China (People's Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Chemical Tanker,92.0,14.0,3037.0,2404.0,2015.0
01742f6b-5770-703c-9e9a-07bb05ee511b,413247480,9809215.0,ZHONG GU LIN YI,BOKT5,CN,China (People's Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",180.0,32.0,40536.0,28433.0,2018.0
01656896-c908-7518-b1ab-1d4a20402f85,413585030,9635107.0,HONG HAO,BPOO6,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",LPG Tanker,110.0,17.799999,4369.0,4702.0,2012.0
014e51eb-ba40-75a0-ab63-8c61f88aa9f3,636013348,9403554.0,SERENGETI,A8MI9,LR,Liberia (Republic of),"Tanker(s), all ships of this type",Crude Oil Tanker,228.0,32.240002,74999.0,42331.0,2009.0
018cc253-95f8-7237-8961-f17dfe34cce0,538008755,9450571.0,SYNERGY BUSAN,V7A2725,MH,Marshall Islands (Republic of the),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",260.0,32.299999,50500.0,40030.0,2009.0
0150e9d9-0b58-7342-a1cc-77d29348175b,636018913,9693410.0,ACRA,D5RZ9,MH,Marshall Islands (Republic of the),"Cargo ships, no additional information",Bulk Carrier,229.0,32.299999,82032.0,44192.0,2016.0
014e46ec-ec68-7d4f-b6d5-1861401a4ff4,416083000,9493250.0,WAN HAI 271,BHLB,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,172.10001,27.299999,21650.0,16776.0,2011.0
014e46ed-abd0-790b-bc9c-75eb686334ba,477790100,9702704.0,BBG GRACE,VRNU8,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, no additional information",Bulk Carrier,228.99001,32.259998,81952.0,43007.0,2015.0
014e4776-a250-7aa1-b5b8-506d0ae81148,413073000,9304784.0,XIN QIN HUANG DAO,BPBD,CN,China (People's Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,279.89999,40.299999,69308.0,66452.0,2004.0
017d0885-2bc8-7c02-8c75-0cd884fe83f6,413307920,9931745.0,SHENG YOU 251,BOUG6,CN,China (People's Republic of),"Tanker(s), all ships of this type",Oil Products Tanker,130.0,21.0,13180.0,8971.0,2021.0
0166c31b-4fd8-7954-853e-d16ad11cf25e,477232200,9785794.0,COSCO SAKURA,VRSG3,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,366.0,48.0,,,
01815c01-6420-7eef-8455-605a26b9b696,477833800,9918717.0,SITC SHANGDE,VRUS2,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,171.89999,28.0,24502.0,18724.0,2022.0
016ecfb5-da80-7a9f-a5c5-f6d1a2eea12b,636019753,9866524.0,ULTRA QUALITY,D5VZ7,SG,Singapore (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,199.98,32.0,63465.0,35832.0,2020.0
015059ad-5458-7c9a-9c8b-9f8a80494b9c,441393000,9730971.0,ASIAN PIONEER,D7WI,MH,Marshall Islands (Republic of the),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y","Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",126.5,20.0,12423.0,8294.0,2015.0
016b4973-9118-70c5-a5ce-3696e0654b65,354977000,9786841.0,EVER GLOBE,3FWU2,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,399.98001,58.959999,198937.0,219775.0,2019.0
014e4764-bc48-7502-b0cb-a0c99f7af9ba,209795000,9450595.0,SYNERGY KEELUNG,5BKF5,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type",Container Ship,260.0,32.0,50500.0,40030.0,2009.0
014e4765-0a68-7871-97ce-96c7a993f26c,636023157,9259379.0,MSC ANCONA III,5LMH4,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Container Ship,199.92999,32.259998,33216.0,27104.0,2003.0
016e8723-e190-7d1b-ac93-896c0c032561,355537000,9866598.0,EVER CALM,H3OA,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,171.98,28.0,22217.0,18658.0,2020.0
0194f390-7048-72db-b83a-e07547c3baad,563250400,9950997.0,EVER VIVE,9V7819,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",209.8,35.0,43729.0,35697.0,2025.0
01741ea7-51a0-7a70-8b02-6edc39daccb3,477996679,9898125.0,GUO HUI,VRS5982,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), all ships of this type",Oil Products Tanker,68.199997,15.0,1903.0,1591.0,2020.0
014e474b-19c8-7dcb-bd44-d296455903ea,477979600,9659828.0,HC WISDOM,VRWE9,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Bulk Carrier,234.98,38.0,95711.0,50625.0,2013.0
0157f64b-3f08-790e-be6e-e9a8cbb94c3e,412479780,9812638.0,JIN ZHU HU,BYNU,CN,China (People's Republic of),Passenger (cruise) ship,Passenger Ship,40.799999,10.8,35.0,499.0,2016.0
0180873e-3a60-7dee-91ae-c09106db93c2,574003200,9352585.0,PETROLIMEX 20,XVUX9,VN,Viet Nam (Socialist Republic of),"Tanker(s), all ships of this type",Oil/Chemical Tanker,146.60001,23.700001,19925.0,11662.0,2005.0
0197f3d7-1e78-76cf-88f5-3a0b8d58f2d2,413231040,9909895.0,HAO YUAN 102,BOFT2,CN,China (People's Republic of),"Tanker(s), all ships of this type",Oil Products Tanker,130.0,21.0,14050.0,8971.0,2020.0
